Inbound_Message,Bucket_ID,Bucket_Title,Suggested_Response_Strategy,Did_Convert,BGC_Conversion
I did,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I did,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,True
I did complete it?!,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
"I did complete the application, now it says to wait 24-48 hours to verify identification.",OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I did it,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I did it already,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,True
I did not accept the offee,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I did one and it dropped my credit score almost 30 points,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I did still doing this,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,True
I did thanks,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I did that. Still freezing up,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I did tht,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I did.  I do have some questions though,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I don't have a license yet just an id,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I don't have an ID,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",False,True
I don't have an id right now,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I even called and they basically said they can't do nothing,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I got it straightened out and figured out the ID scan.,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I gotta get a New id first,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
"I have actually decided to just stick with UberEats, but thank you for reaching out!",OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I have decided not to apply. Thank you please cancel the request,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
"I have my state ID, and no I haven't recently tried",OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I have paper copy so it won't register my license,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I have to find my license,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,True
I haven't received an email to continue. The app told me my identity is being verified.,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I just moved here from Florida and don't a Georgia license won't let me fill out application,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I need the link to upload my id,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,True
I only have a paper ID,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I scanned my id and the Face ID. I just got to wait now,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,True
I still don't have the license to finish registering,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I submitted everything. Been waiting for days after it said 24-48 hours,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I think I did,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I used 724.309.7372 for picture of license and photo. 724.309.2737 will be the number  I use,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I was waiting on my identification check,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I'm finishing it just waiting for the identification,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I'm just waiting for my identity to be verified,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",True,True
I'm trying to log in but it won't let me retrieve my account bc my license was expired but I have an up to date one,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
I'm waiting on my id to come in the mail,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
Identity fail,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
Idk u,OBJ-DL-001,No Driver's License,"1) Gently affirm that a valid driver's license is required to get started. | 2) Ask if they're just waiting on a replacement or if it's a different situation, to see how to best support or advise. | 3) If it's not a temporary issue, let them know they may not qualify at this time but can return once they do. | 4) Confirm with the dasher if they’re in a biking market, and if so, encourage them to dash via biking if possible to get a head start on earning. | SOCIAL PROOF: Totally hear you—if you've got the car and insurance, it's frustrating to feel like you're ready but stuck.; A lot of folks hit this snag while waiting for a renewed or updated license—it's a common pause but usually temporary. | ASK: Are you currently waiting on a replacement license to arrive?; Was your license recently expired or revoked? | URGENCY: If you're just waiting on a new license to arrive, you'll be ready to go as soon as it's in your hands!",,
